Address,Target
فاقوس,Not Cairo governorate
العمري,Cairo governorate
محمد مظهر,Cairo governorate
المعادى,Cairo governorate
حدائق القبة,Cairo governorate
كفر صقر,Not Cairo governorate
مَغَاغَة,Not Cairo governorate
الكردي,Cairo governorate
الفيوم,Not Cairo governorate
قَلْيوب,Not Cairo governorate
كِرْداسَة,Not Cairo governorate
العدوة,Not Cairo governorate
الجبلاية,Cairo governorate
البلاقسة,Cairo governorate
القنطرة غرب,Not Cairo governorate
مصيف بَلْطيم,Not Cairo governorate
الإسماعيلية,Not Cairo governorate
المنيا,Not Cairo governorate
الداودية,Cairo governorate
الأزهر,Cairo governorate
ثان السلام,Cairo governorate
الدواوين,Cairo governorate
درب شغلان,Cairo governorate
مَنْفَلوط,Not Cairo governorate
السادس من أكتوبر,Not Cairo governorate
القربية  ,Cairo governorate
البيرقدار,Cairo governorate
القوصية,Not Cairo governorate
جوهر القائد   ,Cairo governorate
جنوب سيناء,Not Cairo governorate
الاميرية,Cairo governorate
قصر الدوبارة,Cairo governorate
الزمالك,Cairo governorate
الموسكى,Cairo governorate
أبو كبير,Not Cairo governorate
عرابي,Cairo governorate
دمياط,Not Cairo governorate
مصر القديمة,Cairo governorate
حي السلام أول,Cairo governorate
البَدْرْشِين,Not Cairo governorate
أبو حُمُّص,Not Cairo governorate
رحبة عابدين,Cairo governorate
سمسطا,Not Cairo governorate
الفجالة,Cairo governorate
إدكو	,Not Cairo governorate
التبين,Cairo governorate
الازبكية,Cairo governorate
بِيَلا,Not Cairo governorate
الجزيرة الجديدة,Cairo governorate
المعصرة,Cairo governorate
ميت سلسيل,Not Cairo governorate
بولاق,Cairo governorate
منشأة ناصر,Cairo governorate
الغنايم,Not Cairo governorate
بورفؤاد,Not Cairo governorate
الزيتون,Cairo governorate
درب نصر,Cairo governorate
الرياض,Not Cairo governorate
القللي,Cairo governorate
كفر الدَّوَّار,Not Cairo governorate
الوايلى,Cairo governorate
تمي الأمديد,Not Cairo governorate
مَرْسَى مَطْرُوح,Not Cairo governorate
دَمَنْهور,Not Cairo governorate
شبرا,Cairo governorate
الصَّف,Not Cairo governorate
المقطم,Cairo governorate
أبو الفدا,Cairo governorate
أَوْسِيم,Not Cairo governorate
الإسماعيلية,Cairo governorate
دِير مَوَاس,Not Cairo governorate
سيدي سالم,Not Cairo governorate
صِدفا,Not Cairo governorate
منشأة أبو عمر,Not Cairo governorate
,Not Cairo governorate
سوق السلاح,Cairo governorate
التجمع الخامس,Cairo governorate
الرحمانيّة,Not Cairo governorate
حُوش عيسى,Not Cairo governorate
فُـوّه,Not Cairo governorate
طَامِيِّة	,Not Cairo governorate
الخواص ,Cairo governorate
أبو تيج,Not Cairo governorate
دِسوق,Not Cairo governorate
دَيْرُوط,Not Cairo governorate
